image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group,selection_rank,selection_phase,selection_stratum,alpha_scale,speed_scale,dynamic_alpha,dynamic_speed,alpha_mapping,input_high_frequency_ratio,output_high_frequency_ratio,high_frequency_ratio_change,aswb_relative_change,msia_input_relative_change,msia_output_relative_change,decoder_logits_relative_change,decoder_boxes_relative_change,normal_mean_nodes_per_hyperedge,bypass_mean_nodes_per_hyperedge,normal_degree_std,bypass_degree_std,topology_jaccard,topology_change_fraction
763,91edc93bee2deaa58b729fa77041bd73649301fa62fea357c9ce2929c5830b0a.png,67,60-70,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.2207446230319949,Medium (10-30%),26,joint_stratum_round_robin,CIMMYT_1 | 60-70 | Post-Flowering,0.45848673582077026,0.4889146685600281,0.13122698664665222,1.142240285873413,inverse,0.138189435005188,0.0017287604277953506,-0.13646067457739264,1.2727197408676147,0.5291394591331482,0.3441307246685028,0.6748502850532532,0.7702480554580688,131.54125,88.0075,159.47453808817727,113.5806043906705,0.4742607250476342,0.04893359375
783,95e5ad4cefbaa236cf8fdb6be8bb5c526e40a376378a1656662a25fbcb402262.png,96,80-100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.2739470631322082,Medium (10-30%),27,joint_stratum_round_robin,UQ_9 | 80-100 | Filling-Ripening,0.46050384640693665,0.48576873540878296,0.13092443346977234,1.1400381326675415,inverse,0.15023374557495117,0.002707605017349124,-0.14752614055760205,1.3017443418502808,0.4924516975879669,0.32188332080841064,0.6664819121360779,0.7570152878761292,116.26125,91.825,152.86692905412048,126.75682673923326,0.6042421555778275,0.03208359375
801,99171365a43884b9a4ab51de47187f3825decbbf2a5d8076fcac6d77dbb686b7.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.11498438481880685,Medium (10-30%),28,joint_stratum_round_robin,UQ_10 | 80-100 | Filling-Ripening,0.4614655673503876,0.48651549220085144,0.1307801604270935,1.1405608654022217,inverse,0.1574658304452896,0.0024498330894857645,-0.15501599735580385,1.2790957689285278,0.5343839526176453,0.3367091119289398,0.6951277256011963,0.6777583956718445,253.60125,195.9925,251.91902915110938,209.81969031468424,0.6177819958079577,0.06638828125
1224,e69f493af388b9eea8715cb57ecf2585ecf43b53fc02faa2cd70e10ea1051382.png,117,>100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.12355670897389255,Medium (10-30%),29,joint_stratum_round_robin,UQ_10 | >100 | Filling-Ripening,0.4543516933917999,0.48307883739471436,0.13184724748134613,1.138155221939087,inverse,0.1309979110956192,0.002836913801729679,-0.12816099729388952,1.2926836013793945,0.47897934913635254,0.2894628942012787,0.6950939893722534,0.6420329213142395,175.755,138.71875,202.496570896892,170.7340575234991,0.6499039224559126,0.04170546875
186,223562d184e5c4e5d6d2a5c08f55732c7990c21ec699e60a72bb8fed51b6f925.png,41,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.042829997973019646,Low (<10%),30,joint_stratum_round_robin,Terraref_1 | 40-50 | Ripening,0.4613941013813019,0.48897290229797363,0.13079088926315308,1.1422810554504395,inverse,0.16233564913272858,0.0023674126714468002,-0.15996823646128178,1.3216949701309204,0.5629087686538696,0.3574366867542267,0.5029230713844299,0.8091901540756226,299.09,189.545,271.2495933637505,197.98086517388492,0.5293261556758787,0.093990625
759,91a1ae548c3f81fc4b18e3493d7d5ff9d501bff53b31d450c88e888caa844c7b.png,41,40-50,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.044029270448974284,Low (<10%),31,joint_stratum_round_robin,NAU_3 | 40-50 | Filling,0.4566696584224701,0.4907078146934509,0.1314995437860489,1.1434954404830933,inverse,0.16045139729976654,0.0017219275468960404,-0.1587294697528705,1.282470941543579,0.5587887763977051,0.3274824321269989,0.46404069662094116,0.7574698328971863,458.41875,385.94875,372.7866828340807,337.9494246532127,0.7272483194018631,0.083334375
942,b46c9ed893c41b6174f024cea4c08a73a77d912d606a2cc44402e86d3ec122e5.png,159,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.13077520673601628,Medium (10-30%),32,joint_stratum_round_robin,UQ_8 | >100 | Ripening,0.4644473195075989,0.48177221417427063,0.13033290207386017,1.1372405290603638,inverse,0.10686264932155609,0.0032048255670815706,-0.10365782375447452,1.2208877801895142,0.4814397990703583,0.34101617336273193,0.8475137948989868,0.7276785969734192,165.59875,128.92625,189.7567297843149,158.46455695497812,0.6300693204931302,0.041775
1031,c3d6ee524b6c4d8de09f2d08b3973b66b88e00c99405fa2a780686a9e4314a8e.png,70,70-80,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.436279176349123,High (>30%),33,joint_stratum_round_robin,Ukyoto_1 | 70-80 | Post-Flowering,0.45512109994888306,0.46655791997909546,0.13173183798789978,1.1265904903411865,inverse,0.11300574988126755,0.003574211383238435,-0.10943153849802911,1.2431150674819946,0.3114132583141327,0.21447959542274475,0.6731075048446655,0.6277026534080505,99.6325,77.87375,115.71603148980698,99.25491958053011,0.6085203266767101,0.02700078125
466,5acb9f057f3c072ef777d3eae2044f9509fb29659f25868cc333f6a8b64301fd.png,61,60-70,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.03319244866421513,Low (<10%),34,joint_stratum_round_robin,KSU_3 | 60-70 | Filling,0.4542173743247986,0.4847069978713989,0.1318673938512802,1.1392948627471924,inverse,0.14918972551822662,0.0018078224966302514,-0.14738190302159637,1.2619202136993408,0.4966030716896057,0.29079270362854004,0.6357589364051819,0.751498818397522,263.84625,185.43625,268.9714531524442,210.48218080383313,0.6234896630847686,0.065121875
1094,d0422800563470ebe1f23d10babef371476f2c1ad513705b805bce0f7ded2038.png,44,40-50,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.051410862413060164,Low (<10%),35,joint_stratum_round_robin,UQ_10 | 40-50 | Filling-Ripening,0.46355581283569336,0.4881420433521271,0.13046662509441376,1.1416994333267212,inverse,0.15692728757858276,0.0028373778332024813,-0.15408990974538028,1.2644990682601929,0.5632049441337585,0.37631362676620483,0.5645262002944946,0.6274915337562561,460.915,335.3725,364.4690371279843,303.880360904995,0.6296578647115104,0.1130984375
492,5ed5383abafe71472952ac0fcfe95bb9d48dc15abf814185ca0277f640feaa64.png,108,>100,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.05143502421417638,Low (<10%),36,joint_stratum_round_robin,KSU_3 | >100 | Filling,0.4527004063129425,0.4839518368244171,0.13209494948387146,1.1387662887573242,inverse,0.14713157713413239,0.001955325249582529,-0.14517625188454986,1.2647337913513184,0.4430926740169525,0.2520291805267334,0.8092232346534729,0.7084646224975586,104.71625,64.6775,131.9845520731025,88.66359029359232,0.5241131880243831,0.03305703125
279,320d65be4720b663001ebfc54ad9bd7c7ce6a83991395681289472d688891184.png,59,50-60,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.00956613522701185,Low (<10%),37,joint_stratum_round_robin,CIMMYT_2 | 50-60 | Post-Flowering,0.4545993506908417,0.48962247371673584,0.13181009888648987,1.1427357196807861,inverse,0.15997648239135742,0.0017567324684932828,-0.15821974992286414,1.2803468704223633,0.6246265769004822,0.35616597533226013,0.4969130754470825,0.6730552315711975,434.93625,338.2975,353.1615702280438,303.4560721813785,0.670687275663792,0.09525859375
378,460375f69e189a5aafbd7e8e151d13eca7d01c1d569fb583b9b0ff820f8bf615.png,45,40-50,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10662274969011347,Medium (10-30%),38,joint_stratum_round_robin,UQ_11 | 40-50 | Post-Flowering,0.4618062376976013,0.48463279008865356,0.1307290643453598,1.1392428874969482,inverse,0.13277877867221832,0.0028910571709275246,-0.1298877215012908,1.297274112701416,0.5532822608947754,0.3743295967578888,0.7216899991035461,0.6542229652404785,510.28,427.50625,367.0856257060469,336.0310271551386,0.6792850667591857,0.11193828125
48,08ab46fdcf86c9787eeb0097058eb6f893134c7a6480928e753700320b4b6e0d.png,19,10-20,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10722938576930682,Medium (10-30%),39,joint_stratum_round_robin,CIMMYT_2 | 10-20 | Post-Flowering,0.46316635608673096,0.4912566542625427,0.13052505254745483,1.1438796520233154,inverse,0.16069376468658447,0.0019194482592865825,-0.1587743164272979,1.2810311317443848,0.6365290880203247,0.3621976673603058,0.49229416251182556,0.7366451025009155,628.6725,401.305,393.16220602157324,312.8539826740264,0.5954698509635957,0.16321875
851,a398c60d4a03c68cfa79f7a50de846b7d2f5da56ed27533e05bcb2c19ec3fb5b.png,78,70-80,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.3671292441208159,High (>30%),40,joint_stratum_round_robin,KSU_3 | 70-80 | Filling,0.4541931748390198,0.4851919710636139,0.1318710297346115,1.139634370803833,inverse,0.14330986142158508,0.0015742527320981026,-0.14173560868948698,1.2430791854858398,0.5283235907554626,0.3015236258506775,0.6565634608268738,0.7329596281051636,187.1725,122.13875,208.94126924509195,151.0946871946115,0.5684657560295376,0.05318828125
626,7b1ddbae9bed9a2f2b11f1bba5df6d29ee17a7a21c5226f9b16c3cc2d6128227.png,27,20-30,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.01746601632978016,Low (<10%),41,joint_stratum_round_robin,NAU_3 | 20-30 | Filling,0.45033180713653564,0.4856288433074951,0.13245023787021637,1.1399402618408203,inverse,0.14496411383152008,0.0020323158241808414,-0.14293179800733924,1.3147002458572388,0.6093615889549255,0.35273852944374084,0.5419026017189026,0.7306308150291443,527.75625,401.3225,372.1137787504482,322.24449722803644,0.6404312608973934,0.12727890625
472,5b75c3599a6f9b1277068e8a3a9d9a812190f99fb0194a0ef0b7028da51db287.png,52,50-60,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.01654616370479604,Low (<10%),42,joint_stratum_round_robin,CIMMYT_1 | 50-60 | Post-Flowering,0.46849918365478516,0.4954752027988434,0.1297251284122467,1.1468327045440674,inverse,0.15899163484573364,0.0017337814206257463,-0.1572578534251079,1.2488588094711304,0.5668952465057373,0.35759592056274414,0.5369924306869507,0.7055611610412598,377.79,276.9225,315.1431395413836,259.56073758130293,0.61134218525036,0.0986984375
248,2c906513d2e8186cad64b65514d02935de49ff0396c27f17e98dc89c55bc3d45.png,64,60-70,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.1363007533955581,Medium (10-30%),43,joint_stratum_round_robin,NAU_3 | 60-70 | Filling,0.45523637533187866,0.4890439510345459,0.13171455264091492,1.1423307657241821,inverse,0.15550769865512848,0.002247248077765107,-0.15326045057736337,1.2892980575561523,0.4897923171520233,0.29867812991142273,0.4379110634326935,0.7723501920700073,219.15,182.565,243.25234068760776,210.58425457521747,0.651916009149554,0.0529046875
118,1529d4f11ed2215a351178293bfbe8cb55a3a15d75b86622943f6de711e173df.png,17,10-20,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.015903997686691245,Low (<10%),44,joint_stratum_round_robin,KSU_2 | 10-20 | Post-Flowering,0.4632291793823242,0.4924105703830719,0.13051562011241913,1.1446874141693115,inverse,0.16339971125125885,0.0017814133316278458,-0.161618297919631,1.2835352420806885,0.5579851865768433,0.32005444169044495,0.34737998247146606,0.6993815302848816,405.87625,242.98625,316.8051190178869,229.77214487604346,0.5688117480302586,0.1114625
